titolo,categoria,ingredienti
Polpette di pane in padella,ANTIPASTI,"['Pane raffermo 300 g', 'Latte intero 260 g', 'Parmigiano Reggiano DOP 70 g', 'Uova 1', 'Aglio 1 spicchio', 'Prezzemolo q.b.', 'Pangrattato q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Fontina 40 g', 'Pangrattato q.b.', 'Olio extravergine di oliva q.b.']"
Polpette di pesce spada e melanzane al sugo,SECONDI PIATTI,"['Pesce spada 250 g', 'Melanzane 450 g', 'Alloro 2 foglie', 'Uova 2', 'Sale fino 1 cucchiaino', 'Pepe nero 1 pizzico', 'Parmigiano Reggiano DOP da grattugiare 5 cucchiai', 'Aglio 1 spicchio', 'Prezzemolo 2 ciuffi', 'Passata di pomodoro 650 g', 'Cipolle picccola 1', 'Basilico 2 foglie', 'Pangrattato 100 g', 'Olio extravergine di oliva q.b.']"
Girelle di lasagne al ragù,PRIMI PIATTI,"[""Lasagne all'uovo fresche 250 g"", 'Prosciutto cotto 240 g', 'Parmigiano Reggiano DOP (da grattugiare) q.b.', 'Latte intero q.b.', 'Acqua q.b.', 'Macinato di manzo 500 g', 'Passata di pomodoro 700 g', 'Cipolle bianche 1', 'Carote 1', 'Sedano 1 costa', 'Aglio 1 spicchio', 'Vino rosso 60 g', 'Rosmarino 1 rametto', 'Olio extravergine di oliva q.b.', 'Acqua q.b.', 'Latte intero 700 g', 'Burro 70 g', 'Farina 00 70 g', 'Noce moscata q.b.']"
Verdure saltate con salsa di soia e zenzero,CONTORNI,"['Cipolle 80 g', 'Zucchine 70 g', 'Cavolo cappuccio 300 g', 'Carote 80 g', 'Funghi champignon 50 g', 'Zenzero fresco q.b.', 'Salsa di soia q.b.', 'Olio di semi di girasole 3 cucchiai', 'Sale fino q.b.', 'Pepe nero q.b.']"
Torta all’arancia con crema allo yogurt,DOLCI,"['Zucchero 240 g', 'Farina 00 200 g', 'Yogurt greco 170 g', 'Olio di semi di girasole 140 g', 'Fecola di patate 100 g', 'Lievito in polvere per dolci 16 g', 'Uova medie 3', ""Scorza d'arancia 2"", ""Succo d'arancia 1"", 'Sale fino 1 pizzico', 'Yogurt greco 700 g', 'Panna fresca liquida 300 ml', 'Zucchero a velo 100 g', 'Gelatina in fogli 25 g', 'Baccello di vaniglia 1', 'Arancia candita q.b.', 'Arance fettine sottili q.b.']"
Il Goloso,PIATTI UNICI,"['Petto di pollo 100% italiano 300 g', 'Bacon 4 fette', 'Panini da hamburger con semi 4', 'Insalata 4 foglie', 'Farina 00 200 g', 'Acqua 330 g', 'Birra chiara 50 g', 'Scorza di limone 5 g', 'Sale fino 10 g', 'Maggiorana secca q.b.', 'Timo secco q.b.', 'Pepe bianco 1 pizzico', 'Semola di grano duro q.b.', 'Pane secco, macinato grossolanamente 500 g', 'Olio di semi di girasole q.b.', 'Pomodori gialli campani freschi 350 g', 'Cipolle dorate 1', 'Zucchero 50 g', 'Amido di mais (maizena) 10 g', 'Aceto di vino bianco 50 g', 'Acqua 100 g', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Crema spalmabile alla nocciola e cioccolato,DOLCI,"['Cioccolato al latte 250 g', 'Pasta di nocciole 195 g', 'Cacao amaro in polvere 10 g', 'Olio di semi 20 g', 'Sale fino 1 pizzico', 'Baccello di vaniglia 1']"
Latte fritto,DOLCI,"['Latte intero 800 g', 'Amido di mais (maizena) 200 g', 'Zucchero 150 g', 'Scorza di limone 1', 'Uova 4', 'Pangrattato 200 g', 'Olio di semi di arachide q.b.']"
Zucchero a velo fatto in casa,DOLCI,"['Zucchero 350 g', 'Amido di mais (maizena) 10 g']"
Torta arlecchino,DOLCI,"['Burro temperatura ambiente 140 g', 'Farina 00 300 g', 'Fecola di patate 100 g', 'Zucchero 220 g', 'Baccello di vaniglia 1', 'Lievito in polvere per dolci 1 bustina', 'Latte intero 100 ml', 'Scorza di limone 1', ""Scorza d'arancia 1"", 'Uova medie 4', 'Coloranti alimentari misti q.b.', 'Zucchero a velo q.b.']"
Pancake ripieni di cioccolato,DOLCI,"['Farina 00 125 g', 'Burro 25 g', 'Uova medie 2', 'Latte intero 200 g', 'Lievito in polvere per dolci 6 g', 'Zucchero 15 g', 'Cioccolato fondente una barretta al 75% 100 g', 'Lamponi q.b.', 'Panna fresca liquida q.b.']"
Torta salata di piselli e robiola,TORTE SALATE,"['Farina 00 270 g', 'Pisellini 250 g', 'Burro fuso 165 g', 'Uova (circa 4 medie) 220 g', 'Latte intero 100 g', 'Lievito istantaneo per preparazioni salate 16 g', 'Sale fino 10 g', 'Robiola 200 g', 'Uova 1', 'Sale fino q.b.', 'Pepe nero q.b.']"
Tortine pasqualine con piselli,ANTIPASTI,"['Burro freddo di frigorifero 100 g', 'Farina 00 200 g', 'Acqua fredda 70 g', 'Sale fino 1 pizzico', 'Timo q.b.', 'Piselli surgelati 250 g', 'Scalogno 1', 'Olio extravergine di oliva 20 g', 'Ricotta vaccina 200 g', 'Parmigiano Reggiano DOP grattugiato 75 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Uova di quaglia 4', 'Latte intero q.b.']"
"Teglia di pasta, carciofi, patate e piselli",PRIMI PIATTI,"['Penne Rigate 200 g', 'Carciofi già puliti 300 g', 'Patate 450 g', 'Pisellini 300 g', 'Uova 3', 'Parmigiano Reggiano DOP 80 g', 'Pecorino romano 80 g', 'Pangrattato 30 g', 'Cipolle bianche 60 g', 'Pane raffermo solo la mollica 50 g', 'Olio extravergine di oliva 40 g', 'Burro 30 g', 'Prezzemolo tritato 10 g', 'Aglio 1 spicchio', 'Sale q.b.', 'Pepe nero q.b.']"
Insalata di pollo e avocado,INSALATE,"['Petto di pollo 650 g', 'Avocado 1', 'Sedano 250 g', 'Ceci precotti (peso sgocciolato) 200 g', 'Rucola 80 g', 'Succo di limone q.b.', 'Scorza di limone q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva 50 g', 'Succo di limone 35 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Orecchiette con broccoli alici e olive nere,PRIMI PIATTI,"['Orecchiette fresche 350 g', 'Broccoli 550 g', 'Olio extravergine di oliva 30 g', 'Aglio 2 spicchi', 'Peperoncino secco 3', 'Acciughe (alici) sottolio 2 filetti', 'Olive nere denocciolate 40 g', 'Acciughe (alici) sottolio 2 filetti', 'Scorza di limone 1', 'Grana Padano DOP (da grattugiare) 40 g']"
Salmone agli agrumi con riso pilaf,PIATTI UNICI,"[""Filetto di salmone da 200 g l'uno 4"", 'Arance bionde 5', 'Limoni di Sorrento 2', 'Cipollotto fresco 3', 'Miele di acacia 10 g', 'Burro 50 g', 'Zenzero fresco q.b.', 'Sale fino q.b.', 'Riso Basmati 200 g', 'Acqua 500 ml', 'Olio extravergine di oliva 10 g', 'Sale grosso 1 pizzico']"
Penne con rana pescatrice e pomodorini,PRIMI PIATTI,"['Penne Rigate Senza Glutine 320 g', 'Rana pescatrice 600 g', 'Pomodorini ciliegino 500 g', 'Aglio 1 spicchio', 'Basilico 3 foglie', 'Olio extravergine di oliva 30 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Dado vegetale,SALSE E SUGHI,"['Cipolle dorate 380 g', 'Carote 230 g', 'Sedano con le foglie 130 g', 'Porri 1', 'Sale fino 200 g', 'Olio extravergine di oliva 20 g']"
Vellutata di ceci con sautè di cozze e vongole,PIATTI UNICI,"['Ceci secchi 450 g', 'Porri 1', 'Carote 1', 'Timo 3 rametti', 'Olio extravergine di oliva 20 g', 'Acqua 1,5 l', 'Sale fino q.b.', 'Pepe nero q.b.', 'Sedano 60 g', 'Cozze 1 kg', 'Vongole 1 kg', 'Pomodori 200 g', 'Aglio 1 spicchio', 'Olio extravergine di oliva 20 g', 'Prezzemolo (tritato) 1 ciuffo', 'Sale fino 1 pizzico', 'Pepe nero q.b.']"
Pomodorini in crosta,ANTIPASTI,"['Pasta Sfoglia rettangolare 1 rotolo', 'Pomodorini (mini plum, circa 360 g) 16', 'Sale fino q.b.', 'Pepe nero q.b.', 'Origano 2 cucchiaini']"
Pita con hummus di pomodori secchi,PIATTI UNICI,"['Farina Manitoba 125 g', 'Farina 00 125 g', 'Acqua tiepida 150 g', 'Olio extravergine di oliva 15 g', 'Malto 6 g', 'Sale fino 6 g', 'Lievito di birra secco 3 g', 'Olio extravergine di oliva q.b.', 'Acqua q.b.', ""Pomodori secchi sott'olio 150 g"", 'Ceci precotti 100 g', 'Tahina 12 g', 'Olio extravergine di oliva 20 g', 'Coriandolo q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', ""Pomodori secchi sott'olio 4"", 'Peperoncino fresco rosso 1', 'Rucola q.b.']"
Ciambella ricotta e pere,DOLCI,"['Farina 00 250 g', 'Ricotta vaccina 250 g', 'Zucchero 120 g', 'Uova (medie) 4', 'Pere 3', 'Olio di semi di girasole 50 g', 'Lievito in polvere per dolci 16 g', 'Burro q.b.', 'Farina 00 q.b.', 'Zucchero a velo q.b.']"
Moscow mule,BEVANDE,"['Succo di lime 1 cl', 'Vodka 4,5 cl', 'Ginger beer 12 cl', 'Lime ½']"
Paccheri fritti,ANTIPASTI,"['Paccheri 12', 'Mozzarella di bufala 100 g', 'Ricotta di bufala 200 g', 'Pecorino (da grattugiare) 50 g', 'Latte 40 g', 'Basilico q.b.', 'Sale fino q.b.', 'Passata di pomodoro 250 g', 'Scalogno 5 g', 'Olio extravergine di oliva 10 g', 'Acqua 20 g', 'Basilico q.b.', 'Sale fino q.b.', 'Uova 2', 'Latte intero 1 cucchiaio', 'Pangrattato 100 g', 'Sale fino q.b.', 'Olio di semi 1 l']"
Melanzane marinate,CONTORNI,"['Melanzane 700 g', 'Olio extravergine di oliva 100 g', 'Aceto di vino bianco 40 g', 'Peperoncino fresco 1', 'Aglio 1 spicchio', 'Maggiorana 2 rametti', 'Timo 3 rametti', 'Menta 1 rametto', 'Sale fino q.b.']"
Torta salata,TORTE SALATE,"['Farina 00 250 g', 'Burro freddo 125 g', 'Acqua fredda 85 g', 'Patate dolci (o americane) 200 g', 'Cavoletti di Bruxelles 120 g', 'Salamella 50 g', 'Cipolle rosse ½', 'Pane (circa 35 g) 1 fetta', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Panna fresca liquida 300 g', 'Parmigiano Reggiano DOP da grattugiare 60 g', 'Uova medio 1', 'Sale fino q.b.', 'Pepe nero q.b.']"
Maccheroni alla chitarra,PRIMI PIATTI,"['Farina 0 400 g', 'Uova medie 4']"
Pomodori arrosto,CONTORNI,"['Pomodori San Marzano 6', 'Aglio 3 spicchi', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Origano q.b.']"
Caviale di zucchine con crema di gorgonzola,ANTIPASTI,"['Zucchine bianche 300 g', 'Gorgonzola dolce 100 g', 'Formaggio fresco spalmabile 50 g', 'Scalogno 10 g', 'Basilico 3 g', 'Timo 1 pizzico', 'Olio extravergine di oliva 20 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Timo q.b.', 'Basilico q.b.', 'Pomodorini ciliegino 2']"
Tagliatelle pasticciate al forno,PRIMI PIATTI,"['Farina 00 400 g', 'Uova 4', 'Paprika piccante q.b.', 'Ricotta mista 300 g', 'Salsiccia 250 g', 'Pisellini 150 g', 'Carote 100 g', 'Cipolle 100 g', 'Parmigiano Reggiano DOP da grattugiare 60 g', 'Sedano 1 costa', 'Aglio 1 spicchio', 'Latte intero 100 ml', 'Vino bianco 30 ml', 'Olio extravergine di oliva q.b.', 'Pangrattato q.b.', 'Timo q.b.', 'Noce moscata q.b.', 'Pepe nero q.b.', 'Sale fino q.b.']"
Pancake al caffe',DOLCI,"['Farina 00 120 g', 'Uova medie 2', 'Latte intero 150 g', 'Caffè in polvere 2 g', 'Caffè solubile 6 g', 'Lievito in polvere per dolci 4 g', 'Zucchero 40 g', 'Sale fino 1 pizzico', 'Burro per ungere 20 g', 'Nutella 100 g', 'Panna fresca liquida 50 g']"
Pizza marinara,LIEVITATI,"['Farina 0 1 kg', 'Acqua 600 g', 'Lievito di birra secco 7 g', 'Sale fino 20 g', 'Olio extravergine di oliva 60 g', 'Passata di pomodoro 700 g', 'Aglio 4 spicchi', 'Origano (secco) 20 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Arancini di riso venere e pesce,ANTIPASTI,"['Riso nero Venere 300 g', 'Scalogno 1', 'Vino bianco 50 ml', 'Amido di riso 2 cucchiai', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Brodo di pesce q.b.', 'Pepe nero q.b.', 'Gamberi 200 g', 'Scampi 200 g', 'Triglie 200 g', 'Pisellini 150 g', 'Aglio 1 spicchio', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Uova medie 2', 'Semi di sesamo nero q.b.', 'Olio di semi di arachide q.b.']"
Pizza mascarpone speck e noci,LIEVITATI,"['Farina 0 1 kg', 'Acqua 600 g', 'Olio extravergine di oliva 60 g', 'Lievito di birra secco 7 g', 'Sale fino 20 g', 'Speck a fette 150 g', 'Mascarpone cremoso 150 g', 'Gherigli di noci 40 g', 'Olio extravergine di oliva 10 g', 'Origano 10 g', 'Mozzarella di bufala o fiordilatte 600 g', 'Passata di pomodoro 700 g', 'Sale fino q.b.']"
Crauti alla Tirolese,CONTORNI,"['Crauti precotti (2 barattoli) 770 g', 'Pancetta affumicata 150 g', 'Cipolle piccola 1', 'Olio extravergine di oliva 2 cucchiai', 'Burro 10 g', 'Bacche di ginepro 5', 'Farina 00 rasi 2 cucchiai', 'Dadi di carne 1', 'Sale fino q.b.', 'Acqua 800 ml']"
Rame di Napoli,DOLCI,"['Farina 00 225 g', 'Latte intero 200 g', 'Margarina vegetale 50 g', 'Zucchero 100 g', 'Cacao amaro in polvere 50 g', 'Lievito in polvere per dolci 8 g', 'Cannella in polvere 1 g', 'Chiodi di garofano macinati 1 g', 'Miele millefiori 20 g', ""Scorza d'arancia ½"", 'Cioccolato fondente 100 g', 'Margarina vegetale 60 g', 'Marmellata di arance 30 g', 'Granella di pistacchi 20 g']"
Cheesecake con creme brulèe,DOLCI,"['Biscotti Digestive 250 g', 'Burro 120 g', 'Scorza di limone 1', 'Formaggio fresco spalmabile 500 g', 'Zucchero a velo 150 g', 'Panna fresca liquida 250 g', 'Succo di limone 1', 'Latte intero 250 g', 'Tuorli 2', 'Zucchero 50 g', 'Baccello di vaniglia 1', 'Farina 00 o amido di mais 20 g', 'Scorza di limone 1', 'Zucchero di canna q.b.']"
Tartufini di biscotti al mascarpone e cocco,DOLCI,"['Biscotti al cacao (con gocce di cioccolato) 250 g', 'Mascarpone a temperatura ambiente 250 g', 'Cocco rapè 50 g', 'Scorza di limone 1', 'Cocco rapè 50 g']"
Funghi e patate,CONTORNI,"['Patate 700 g', 'Funghi champignon 350 g', 'Vino bianco secco 50 g', 'Sale grosso 1 cucchiaino', 'Rosmarino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.']"
Panna cotta con agar agar,DOLCI,"['Panna fresca liquida 550 g', 'Fragole 400 g', 'Zucchero 130 g', 'Zucchero 50 g', 'Agar agar 2 g', 'Fragole 2', 'Menta q.b.']"
Baccalà arracanato,SECONDI PIATTI,"['Baccalà dissalato 800 g', 'Pane raffermo (solo mollica) 150 g', 'Aglio 1 spicchio', 'Pinoli 20 g', 'Succo di limone 1', 'Uvetta 30 g', 'Origano q.b.', 'Pangrattato 1 cucchiaio', 'Olio extravergine di oliva q.b.']"
Tagliata alle erbe aromatiche,SECONDI PIATTI,"['Scamone di manzo 500 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Timo 2 rametti', 'Rosmarino 2 rametti', 'Maggiorana 2 rametti', 'Salvia 4 foglie']"
Cozze alla busara,ANTIPASTI,"['Cozze 1 kg', 'Prezzemolo 1 mazzetto', 'Aglio 2 spicchi', 'Vino bianco secco 50 g', 'Pangrattato 40 g', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.']"
Orzotto con zucchine e fiori di zucca,PRIMI PIATTI,"['Orzo perlato 240 g', 'Fiori di zucca 300 g', 'Zucchine 200 g', 'Basilico 50 g', 'Scalogno 2', 'Vino bianco secco 110 ml', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Crepe alle zucchine cotto e stracchino,SECONDI PIATTI,"['Uova (medie) 3', 'Farina 00 250 g', 'Latte 500 ml', 'Burro 40 g', 'Sale 1 pizzico', 'Burro (per ungere la padella) q.b.', 'Zucchine baby 400 g', 'Aglio 1 spicchio', 'Prezzemolo q.b.', 'Sale 1 pizzico', 'Olio extravergine di oliva 20 g', 'Prosciutto cotto (in fette) 200 g', 'Stracchino 250 g']"
Sandwich di brownies al cioccolato,DOLCI,"['Cioccolato fondente 200 g', 'Nocciole 60 g', 'Farina 00 100 g', 'Burro 175 g', 'Uova 2', 'Zucchero 200 g', 'Lievito in polvere per dolci 5 g', 'Latte intero 500 g', 'Zucchero 40 g', 'Frumina 20 g', 'Baccello di vaniglia 1']"
Spezzatino di pollo allo yogurt,SECONDI PIATTI,"['Petto di pollo 800 g', 'Brodo 300 ml', 'Cipolle rosse ½', 'Rosmarino da tritare 1 rametto', 'Salvia da tritare 2 foglie', 'Noce moscata q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Yogurt greco 200 g', 'Cipolle rosse ½', 'Peperoncino fresco 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'Aglio (facoltativo) 1 spicchio', 'Patate 500 g', 'Prezzemolo da tritare q.b.', 'Olio extravergine di oliva 3 cucchiai', 'Sale fino q.b.', 'Pepe nero q.b.']"
Nocino,BEVANDE,"['Noci (24 fresche, i malli) 850 g', 'Alcol puro (al 96%) 1 l', 'Acqua 500 g', 'Zucchero 500 g', 'Scorza di limone 1', 'Cannella in stecche 2', 'Chiodi di garofano 3']"
Torta all'acqua al cacao,DOLCI,"['Farina 00 250 g', 'Zucchero 150 g', 'Acqua a temperatura ambiente 180 g', 'Cacao amaro in polvere 40 g', 'Olio di semi di girasole 80 g', 'Uova 2', 'Sale fino 1 pizzico', 'Lievito in polvere per dolci 16 g', 'Zucchero a velo q.b.']"
"Pasta senza glutine con pesto di pistacchi, gamberi e pomodori secchi",PRIMI PIATTI,"['Penne Rigate Senza Glutine 320 g', 'Gamberi (code) 300 g', 'Pomodori secchi 30 g', 'Sale fino q.b.', 'Peperoncino fresco 1', 'Pistacchi non salati (sgusciati) 150 g', 'Panna fresca senza lattosio 50 g', 'Aglio 2 spicchi', 'Basilico 2 foglie', 'Olio extravergine di oliva 70 g', 'Sale fino q.b.', 'Scorza di limone (non trattata) 1']"
"Zuppa ai 3 cereali, lenticchie e patate",PRIMI PIATTI,"['Mix di cereali (riso, orzo e farro) 300 g', 'Lenticchie già ammollate 180 g', 'Patate 200 g', 'Carote 2', 'Cipolle bianche 1', 'Pomodorini ciliegino 4', 'Acqua 1,2 l', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Burro 50 g', 'Parmigiano Reggiano DOP 80 g']"
Colomba al cioccolato,LIEVITATI,"['Farina Manitoba 140 g', 'Latte intero a temperatura ambiente 40 g', 'Acqua a temperatura ambiente 100 g', 'Lievito di birra fresco 15 g', 'Farina Manitoba 100 g', 'Zucchero 20 g', 'Burro a temperatura ambiente 20 g', 'Farina Manitoba 210 g', 'Zucchero 120 g', 'Uova (circa 2 medie) 112 g', 'Burro a temperatura ambiente 80 g', 'Sale fino 10 g', 'Gocce di cioccolato fondente 100 g', ""Scorza d'arancia 1"", 'Cioccolato fondente 250 g', 'Panna fresca liquida 80 g', 'Nocciole tritate q.b.']"
Confettura di fragole e albicocche alla vaniglia,MARMELLATE E CONSERVE,"['Fragole 500 g', 'Albicocche 500 g', 'Zucchero 350 g', 'Baccello di vaniglia 1', 'Preparato per confetture 3:1 25 g']"
Melanzane fritte,ANTIPASTI,"['Melanzane lunghe 2', 'Farina 00 q.b.', 'Sale fino q.b.', 'Olio di semi di arachide per friggere 1 l']"
Torta di ricotta morbidissima,DOLCI,"['Farina 0 200 g', 'Farina di mandorle 100 g', 'Uova (circa 2 medie) 110 g', 'Ricotta vaccina 250 g', 'Zucchero di canna 150 g', 'Cioccolato fondente al 70% gocce 50 g', 'Latte intero 50 g', 'Miele millefiori 20 g', 'Olio di semi di girasole 100 g', 'More 450 g', 'Lievito in polvere per dolci 12 g', 'Sale fino 1 pizzico', 'Mandorle in scaglie q.b.', 'Zucchero a velo q.b.']"
Snack barretta,DOLCI,"['Fiocchi di avena 100 g', 'Mandorle 150 g', 'Sciroppo di acero 95 g', 'Anacardi 120 g', 'Mirtilli rossi essiccati 130 g', 'Cannella in polvere ½ cucchiaino', 'Noce moscata q.b.']"
Pasta fresca alla barbabietola,PRIMI PIATTI,"['Barbabietole precotte 120 g', 'Farina 00 320 g', 'Uova medie 2', 'Semola (per spolverizzare) q.b.']"
Plumcake allo yogurt e mele,DOLCI,"['Farina 00 500 g', 'Yogurt bianco naturale intero 500 g', 'Mele Golden 500 g', 'Zucchero 360 g', 'Uova (circa 6 medie) 360 g', 'Burro 100 g', 'Lievito in polvere per dolci 16 g', 'Scorza di limone grattugiata 1', 'Farina 00 q.b.', 'Burro q.b.']"
Pastiera al cioccolato,DOLCI,"['Farina 00 per dolci 300 g', 'Strutto a temperatura ambiente 180 g', 'Zucchero a velo 180 g', 'Tuorli (di circa 3 uova medie) 60 g', 'Cacao amaro in polvere 15 g', 'Grano per pastiera (precotto e sgocciolato) 350 g', 'Latte intero 250 g', 'Cioccolato fondente 100 g', 'Strutto 30 g', 'Scorza di limone 1', 'Ricotta vaccina 200 g', 'Ricotta di pecora 200 g', 'Zucchero 350 g', 'Uova (circa 3 medie) 165 g', 'Cedro candito 50 g', 'Arancia candita 50 g', ""Acqua di fiori d'arancio 15 g"", 'Baccello di vaniglia 1', 'Farina 00 q.b.', 'Strutto q.b.']"
"Insalata d'orzo con acciughe, gamberetti e pomodorini",PRIMI PIATTI,"['Orzo perlato 300 g', 'Gamberi 200 g', 'Olio extravergine di oliva 5 cucchiai', 'Pomodorini ciliegino 150 g', 'Basilico q.b.', 'Pepe nero q.b.', ""Acciughe sott'olio filetti 8""]"
Tartufini al cocco e nutella,DOLCI,"['Cioccolato fondente 200 g', 'Nutella 120 g', 'Granella di nocciole 30 g', 'Panna fresca liquida 50 g', 'Cocco rapè 40 g', 'Nocciole 32', 'Acqua 30 g', 'Zucchero 70 g']"
Tacchino al curry con verdure croccanti,SECONDI PIATTI,"['Petto di tacchino 800 g', 'Curry 15 g', 'Carote 250 g', 'Zucchine 250 g', 'Fagiolini 250 g', 'Porri 150 g', 'Aglio 1 spicchio', 'Timo 4 rametti', 'Miele di acacia 40 g', 'Aceto di mele 20 ml', 'Sale fino 1 pizzico', 'Pepe nero q.b.', 'Brodo vegetale 200 ml', 'Zucchero di canna 1 cucchiaino']"
Polpo in pentola a pressione,ANTIPASTI,"['Polpo 1,5 kg', 'Sedano 1 costa', 'Carote 1', 'Cipolle 1', 'Prezzemolo 3 rametti', 'Acqua 300 g', 'Olio extravergine di oliva 30 g', 'Succo di limone 1', 'Prezzemolo 1 mazzetto', 'Sale fino q.b.', 'Pepe nero q.b.']"
Fregola con lenticchie,PRIMI PIATTI,"['Fregola 320 g', 'Lenticchie secche 250 g', 'Prosciutto crudo 200 g', 'Porri 100 g', 'Passata di pomodoro 400 g', 'Brodo vegetale 1,3 l', 'Olio extravergine di oliva 30 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Maggiorana q.b.']"
Gnocchi di asparagi con crema di burrata e pancetta,PRIMI PIATTI,"['Asparagi 500 g', 'Semola di grano duro rimacinata 330 g', 'Acqua a temperatura ambiente 100 g', 'Burrata 100 g', 'Uova ( 1 medio) 55 g', 'Parmigiano Reggiano DOP 15 g', 'Latte intero 80 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Noce moscata q.b.', 'Pancetta 100 g']"
Pesce San Pietro in padella,SECONDI PIATTI,"['Pesce San Pietro filetti (con la pelle) 800 g', 'Pomodorini ciliegino 200 g', 'Olive nere infornate 50 g', 'Vino bianco 200 ml', 'Aglio 1 spicchio', 'Peperoncino in polvere q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Prezzemolo 2 ciuffi']"
Granola in padella,DOLCI,"['Fiocchi di avena 100 g', 'Miele millefiori 50 g', 'Acqua 50 g', 'Anacardi 30 g', 'Arachidi 30 g', 'Mandorle 30 g', 'Uva passa 30 g']"
Risotto mimosa,PRIMI PIATTI,"['Riso Carnaroli 350 g', 'Scalogno 1', 'Asparagi 500 g', 'Olio extravergine di oliva ½ bicchiere', 'Uova sode 4', 'Grana Padano DOP da grattugiare 40 g', 'Brodo vegetale 1 l', 'Stracchino 150 g', 'Vino bianco secco 1 bicchiere', 'Pepe nero q.b.', 'Burro 20 g']"
Arista di maiale con confettura di pomodori,SECONDI PIATTI,"['Arista legata e bardata con pancetta 1 kg', 'Sale fino q.b.', 'Pepe nero q.b.', 'Aglio 2 spicchi', 'Vino bianco 80 g', 'Zucchine baby 500 g', 'Acqua 30 g', 'Timo q.b.', 'Olio extravergine di oliva q.b.', 'Pomodorini datterini 500 g', 'Zucchero 150 g', 'Cipolle rosse ½', 'Aceto di vino bianco 50 g', 'Sale fino q.b.', 'Peperoncino in polvere ¼ cucchiaino']"
Frittelle dolci di riso al profumo di limone,DOLCI,"['Riso Carnaroli (lessato) 300 g', 'Uvetta 80 g', 'Scorza di limone 1', 'Cannella in polvere abbondante 1 pizzico', 'Farina 00 60 g', 'Uova piccole 2', 'Zucchero 30 g', 'Olio di semi di arachide q.b.', 'Zucchero q.b.']"
Triangolini di pasta fillo con broccoli e ricotta,ANTIPASTI,"['Pasta fillo (6 fogli rettangolari) 270 g', 'Broccoli 250 g', 'Ricotta vaccina 200 g', 'Menta 3 foglie', ""Pomodori secchi sott'olio 5"", 'Olio extravergine di oliva 50 ml', 'Semi di sesamo q.b.', 'Semi di sesamo nero q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Panini alla curcuma,LIEVITATI,"['Farina Manitoba 150 g', 'Farina 00 350 g', 'Lievito di birra secco 2 g', 'Zucchero 10 g', 'Sale fino 8 g', 'Latte intero a temperatura ambiente 300 g', 'Burro a temperatura ambiente 50 g', 'Curcuma in polvere 5 g', 'Olive riviera denocciolate 50 g', 'Uva sultanina 50 g']"
"Fregola con gamberi, stracciatella e liquirizia",PRIMI PIATTI,"['Fregola 200 g', 'Gamberi rossi 200 g', 'Stracciatella q.b.', 'Liquirizia in polvere 3 g', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pomodorini datterini 200 g', 'Cipolle 100 g', 'Sedano 100 g', 'Carote 100 g', 'Ghiaccio q.b.', 'Acqua q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Pizzoccheri bianchi della Valtellina,PRIMI PIATTI,"['Pangrattato 60 g', 'Latte intero 400 g', 'Farina 00 170 g', 'Sale fino q.b.', 'Patate 500 g', 'Valtellina Casera 150 g', 'Burro 40 g', 'Salvia 5 foglie', 'Aglio 2 spicchi', 'Pesteda valtellinese q.b.']"
